HourUTC,PriceArea,SpotPriceEUR,mFRRUpActBal,mFRRDownActBal,mFRRUpActSpec,mFRRDownActSpec,ImbalanceMWh,ImbalancePriceEUR,BalancingPowerPriceUpEUR,BalancingPowerPriceDownEUR,Brute_Consumption_MWh,hour_sin,hour_cos,month_sin,month_cos,is_weekend,temp_dry,wind_speed,wind_dir,SpotPriceEUR_lag_1,SpotPriceEUR_lag_24,SpotPriceEUR_lag_168,SpotPriceEUR_roll_mean_6h,Brute_Consumption_MWh_lag_1,Brute_Consumption_MWh_lag_24,Brute_Consumption_MWh_lag_168,Brute_Consumption_MWh_roll_mean_6h,wind_speed_lag_1,wind_speed_lag_24,wind_speed_lag_168,wind_speed_roll_mean_6h,temp_dry_lag_1,temp_dry_lag_24,temp_dry_lag_168,temp_dry_roll_mean_6h,PriceArea_Code
2022-11-01 23:00:00,DK1,54.919998,0.0,71.300003,0.0,483.579987,-103.0,13.43,54.919998,13.43,3412.379021,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,0,13.25,7.7,164.53254419722077,27.709999,80.650002,91.389999,80.09833400000001,3300.95983,2844.726472,2835.232513,3863.033396833333,8.049999999999999,6.616666666666667,2.516666666666667,8.427777777777779,13.4,11.65,10.466666666666669,13.694444444444443,0
2022-11-01 23:00:00,DK2,54.919998,0.0,19.0,0.0,22.459999,-22.6,13.43,54.919998,13.43,3412.379021,-0.2588190451025215,0.965925826289068,-0.5000000000000004,0.8660254037844384,0,11.5,4.85,201.8419570920184,27.709999,80.650002,91.389999,80.14166633333333,3300.95983,2844.726472,2835.232513,3863.033396833333,4.866666666666666,2.9333333333333336,3.1833333333333336,4.230555555555555,11.783333333333331,12.516666666666666,10.483333333333333,11.513888888888888,1
2022-11-02 00:00:00,DK1,24.34,0.0,59.200001,0.0,88.669998,-54.0,2.08,24.34,2.08,3236.651484,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,13.216666666666669,7.7,167.66665350356504,54.919998,76.68,88.230003,68.3566665,3412.379021,2787.833389,2786.201349,3677.597925833333,7.7,6.783333333333334,2.766666666666667,8.191666666666666,13.25,11.533333333333331,10.066666666666666,13.583333333333334,0
2022-11-02 00:00:00,DK2,24.34,0.0,19.0,0.0,0.0,-95.199997,2.08,24.34,2.08,3236.651484,0.0,1.0,-0.5000000000000004,0.8660254037844384,0,11.433333333333332,4.516666666666667,190.94165023496544,54.919998,76.68,88.230003,68.3566665,3412.379021,2787.833389,2786.201349,3677.597925833333,4.85,3.6,2.6833333333333336,4.466666666666666,11.5,12.5,9.666666666666666,11.547222222222222,1
2022-11-02 01:00:00,DK1,17.379999,0.0,62.700001,0.0,173.119995,-102.0,2.09,17.379999,2.09,3234.382063,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,0,12.983333333333334,6.866666666666667,164.1868636008062,24.34,55.259998,88.690002,55.3999995,3236.651484,2792.610447,2747.319676,3505.1530475,7.7,7.533333333333334,2.766666666666667,8.116666666666667,13.216666666666669,11.583333333333334,10.383333333333333,13.480555555555554,0
2022-11-02 01:00:00,DK2,17.379999,0.0,19.0,0.0,3.0,-49.799999,2.09,17.379999,2.09,3234.382063,0.2588190451025207,0.9659258262890684,-0.5000000000000004,0.8660254037844384,0,11.183333333333332,4.433333333333333,191.90157003797756,24.34,55.259998,88.690002,55.3999995,3236.651484,2792.610447,2747.319676,3505.1530475,4.516666666666667,5.916666666666667,3.5333333333333337,4.5777777777777775,11.433333333333332,12.5,10.15,11.594444444444443,1
2022-11-02 02:00:00,DK1,15.28,0.0,72.699997,0.0,0.0,-132.0,0.0,15.28,0.0,3100.407527,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,12.35,7.966666666666666,161.50662082165763,17.379999,37.0,96.529999,44.264998999999996,3234.382063,2848.318227,2754.541426,3378.8693865,6.866666666666667,8.116666666666665,2.766666666666667,7.797222222222222,12.983333333333334,12.3,10.116666666666664,13.333333333333334,0
2022-11-02 02:00:00,DK2,15.28,0.0,19.0,0.0,0.0,97.900002,0.0,15.28,0.0,3100.407527,0.4999999999999999,0.8660254037844387,-0.5000000000000004,0.8660254037844384,0,11.583333333333334,5.2,193.05781882978044,17.379999,37.0,96.529999,44.264998999999996,3234.382063,2848.318227,2754.541426,3378.8693865,4.433333333333333,6.116666666666667,4.616666666666666,4.647222222222222,11.183333333333332,12.65,11.05,11.577777777777778,1
2022-11-02 03:00:00,DK1,20.200001,0.0,67.900002,0.0,0.0,-119.0,0.0,20.200001,0.0,3070.816013,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0,11.0,7.699999999999999,186.06016263608387,15.28,38.759998,107.510002,34.866666,3100.407527,2890.798754,2934.703486,3280.533641333333,7.966666666666666,7.45,2.85,7.691666666666667,12.35,12.7,9.533333333333331,13.094444444444443,0
2022-11-02 03:00:00,DK2,20.200001,0.0,18.299999,0.0,0.0,-110.699997,0.0,20.200001,0.0,3070.816013,0.7071067811865475,0.7071067811865476,-0.5000000000000004,0.8660254037844384,0,11.516666666666666,5.6000000000000005,192.1340568201748,15.28,38.759998,107.510002,34.866666,3100.407527,2890.798754,2934.703486,3280.533641333333,5.2,6.116666666666667,3.016666666666667,4.830555555555555,11.583333333333334,12.666666666666666,11.516666666666666,11.563888888888888,1
